"ACCT","FULL_ACCT","FISCALYR","PERIOD","DESCRIP","YTD_BEGINNING","PERIOD_DEBIT","PERIOD_CREDIT","PERIOD_BALANCE","CUMM_PERIOD_BALANCE","EPLANT_ID","COMPANY"
"7107915","10-7010-7915","2013",1,"Dues & Subscriptions",0,,,,0,1,"Plasmology4"
"7107920","10-7010-7920","2013",1,"Office Supplies",0,,,,0,1,"Plasmology4"
"7107930","10-7010-7930","2013",1,"Taxes/Licenses/Fees",0,,,,0,1,"Plasmology4"
"7107940","10-7010-7940","2013",1,"Bank Charges",0,,,,0,1,"Plasmology4"
"7107990","10-7010-7990","2013",1,"Gifts (business)",0,,,,0,1,"Plasmology4"
"7156000","10-7015-6000","2013",1,"Salaries & Wages",0,,,,0,1,"Plasmology4"
"7156350","10-7015-6350","2013",1,"Employer Payroll Taxes",0,,,,0,1,"Plasmology4"
"7156360","10-7015-6360","2013",1,"Payroll Fees",0,,,,0,1,"Plasmology4"
"7156410","10-7015-6410","2013",1,"Den/Vis/Life Insurance",0,,,,0,1,"Plasmology4"
"7156425","10-7015-6425","2013",1,"HSA - Employer Contribution",0,,,,0,1,"Plasmology4"
"7156500","10-7015-6500","2013",1,"Workers Compensation Insurance",0,,,,0,1,"Plasmology4"
"7156650","10-7015-6650","2013",1,"Relocation",0,,,,0,1,"Plasmology4"
"7156720","10-7015-6720","2013",1,"Training",0,,,,0,1,"Plasmology4"
"7208300","10-7020-8300","2013",1,"IT - Hardware",0,,,,0,1,"Plasmology4"
"7208320","10-7020-8320","2013",1,"IT - Software; Non-Depreciable ",0,,,,0,1,"Plasmology4"
"7208330","10-7020-8330","2013",1,"IT - Cloud Services",0,,,,0,1,"Plasmology4"
"7208350","10-7020-8350","2013",1,"IT - Connectivity",0,,,,0,1,"Plasmology4"
"7208360","10-7020-8360","2013",1,"IT - Voice",0,,,,0,1,"Plasmology4"
"7307500","10-7030-7500","2013",1,"Legal Fees - General",0,,,,0,1,"Plasmology4"
"7307510","10-7030-7510","2013",1,"Legal Fees - Patent",0,,,,0,1,"Plasmology4"
"7307819","10-7030-7819","2013",1,"Shareholder Expenses ",0,,,,0,1,"Plasmology4"
"7355920","10-7035-5920","2013",1,"Depreciation - Furniture & Fixtures",0,,,,0,1,"Plasmology4"
"7357300","10-7035-7300","2013",1,"Rent",0,,,,0,1,"Plasmology4"
"7357400","10-7035-7400","2013",1,"Utilities",0,,,,0,1,"Plasmology4"
"7357420","10-7035-7420","2013",1,"Equipment",0,,,,0,1,"Plasmology4"
"7506550","10-7050-6550","2013",1,"D&O Insurance",0,,,,0,1,"Plasmology4"
"8007720","10-8000-7720","2013",1,"Seminars",0,,,,0,1,"Plasmology4"
"8007905","10-8000-7905","2013",1,"Printing & Publications",0,,,,0,1,"Plasmology4"
"8008110","10-8000-8110","2013",1,"Promotional Expense",0,,,,0,1,"Plasmology4"
"9008400","10-9000-8400","2013",1,"Suspense",0,,,,0,1,"Plasmology4"
"9008700","10-9000-8700","2013",1,"Amortization",0,,,,0,1,"Plasmology4"
"9108410","10-9100-8410","2013",1,"Interest Expense",0,,,,0,1,"Plasmology4"
"9108460","10-9100-8460","2013",1,"Interest Income",0,,,,0,1,"Plasmology4"
"0001000","10-0000-1000","2013",2,"Petty Cash",0,,,,0,1,"Plasmology4"
"0001001","10-0000-1001","2013",2,"Plaz4 Operational ",0,,,,0,1,"Plasmology4"
"0001002","10-0000-1002","2013",2,"Plaz4 Debit",0,,,,0,1,"Plasmology4"
"0001003","10-0000-1003","2013",2,"Plaz4 Money Market",0,,,,0,1,"Plasmology4"
"0001500","10-0000-1500","2013",2,"Due From Employee",0,,,,0,1,"Plasmology4"
"0001530","10-0000-1530","2013",2,"Income Tax Income Refund",0,,,,0,1,"Plasmology4"
"0001580","10-0000-1580","2013",2,"Receivable from Shareholders",0,,,,0,1,"Plasmology4"
"0001600","10-0000-1600","2013",2,"Security Deposit",0,,,,0,1,"Plasmology4"
"0001660","10-0000-1660","2013",2,"Due from EDGE Orthopaedics",0,,,,0,1,"Plasmology4"
"0001730","10-0000-1730","2013",2,"Goodwill",0,,,,0,1,"Plasmology4"
"0001740","10-0000-1740","2013",2,"Organizational Cost",0,,,,0,1,"Plasmology4"
"0001750","10-0000-1750","2013",2,"Accum Amortization - Goodwill",0,,,,0,1,"Plasmology4"
"0001760","10-0000-1760","2013",2,"Accum Amortization - Organizational",0,,,,0,1,"Plasmology4"
"0001800","10-0000-1800","2013",2,"Machinery & Equipment",0,,,,0,1,"Plasmology4"
"0001850","10-0000-1850","2013",2,"Computer Equipment",0,,,,0,1,"Plasmology4"
"0001860","10-0000-1860","2013",2,"Software",0,,,,0,1,"Plasmology4"
"0001870","10-0000-1870","2013",2,"Leasehold Improvements",0,,,,0,1,"Plasmology4"
"0001899","10-0000-1899","2013",2,"Office Equipment ",0,,,,0,1,"Plasmology4"
"0001900","10-0000-1900","2013",2,"Accum Depreciation - Mach/Equip",0,,,,0,1,"Plasmology4"
"0001950","10-0000-1950","2013",2,"Accum Depreciation - Comp Equip",0,,,,0,1,"Plasmology4"
"0001960","10-0000-1960","2013",2,"Accum Depreciation - Software",0,,,,0,1,"Plasmology4"
"0001970","10-0000-1970","2013",2,"Accum Depreciation - L/H Improve",0,,,,0,1,"Plasmology4"
"0002000","10-0000-2000","2013",2,"Accounts Payable",0,,,,0,1,"Plasmology4"
"0002180","10-0000-2180","2013",2,"Employee HSA Payable",0,,,,0,1,"Plasmology4"
"0002200","10-0000-2200","2013",2,"Wages Payable",0,,,,0,1,"Plasmology4"
"0002270","10-0000-2270","2013",2,"Due To Employee",0,,,,0,1,"Plasmology4"
"0002450","10-0000-2450","2013",2,"Stock Redemption Payable - K.B.",0,,,,0,1,"Plasmology4"
"0002455","10-0000-2455","2013",2,"Stock Redemption Payable - B. B.",0,,,,0,1,"Plasmology4"
"0002456","10-0000-2456","2013",2,"Stock Redemption Payable - R. R.",0,,,,0,1,"Plasmology4"
"0002600","10-0000-2600","2013",2,"Warrants",0,,,,0,1,"Plasmology4"
"0002700","10-0000-2700","2013",2,"Common Stock",0,,,,0,1,"Plasmology4"
"0002800","10-0000-2800","2013",2,"Treasury Stock",0,,,,0,1,"Plasmology4"
"0002900","10-0000-2900","2013",2,"Series A Stock",0,,,,0,1,"Plasmology4"
"0003100","10-0000-3100","2013",2,"Retained Earnings",0,,,,0,1,"Plasmology4"
"0003198","10-0000-3198","2013",2,"Net Income",0,,,,0,1,"Plasmology4"
"5157680","10-5015-7680","2013",2,"Quality & Regulatory",0,,,,0,1,"Plasmology4"
"6007580","10-6000-7580","2013",2,"Consulting",0,,,,0,1,"Plasmology4"
"6007650","10-6000-7650","2013",2,"Research & Development",0,,,,0,1,"Plasmology4"
"6077690","10-6007-7690","2013",2,"Veterinary",0,,,,0,1,"Plasmology4"
"7107530","10-7010-7530","2013",2,"Accounting Fees",0,,,,0,1,"Plasmology4"
"7107800","10-7010-7800","2013",2,"Business Meeting Expenses",0,,,,0,1,"Plasmology4"
"7107820","10-7010-7820","2013",2,"Meals & Entertainment",0,,,,0,1,"Plasmology4"
"7107840","10-7010-7840","2013",2,"Lodging",0,,,,0,1,"Plasmology4"
"7107850","10-7010-7850","2013",2,"Transportation",0,,,,0,1,"Plasmology4"
"7107860","10-7010-7860","2013",2,"Other Travel ",0,,,,0,1,"Plasmology4"
"7107870","10-7010-7870","2013",2,"Mileage Reimbursement ",0,,,,0,1,"Plasmology4"
"7107910","10-7010-7910","2013",2,"Postage & Delivery",0,,,,0,1,"Plasmology4"
"7107915","10-7010-7915","2013",2,"Dues & Subscriptions",0,,,,0,1,"Plasmology4"
"7107920","10-7010-7920","2013",2,"Office Supplies",0,,,,0,1,"Plasmology4"
"7107930","10-7010-7930","2013",2,"Taxes/Licenses/Fees",0,,,,0,1,"Plasmology4"
"7107940","10-7010-7940","2013",2,"Bank Charges",0,,,,0,1,"Plasmology4"
"7107990","10-7010-7990","2013",2,"Gifts (business)",0,,,,0,1,"Plasmology4"
"7156000","10-7015-6000","2013",2,"Salaries & Wages",0,,,,0,1,"Plasmology4"
"7156350","10-7015-6350","2013",2,"Employer Payroll Taxes",0,,,,0,1,"Plasmology4"
"7156360","10-7015-6360","2013",2,"Payroll Fees",0,,,,0,1,"Plasmology4"
"7156410","10-7015-6410","2013",2,"Den/Vis/Life Insurance",0,,,,0,1,"Plasmology4"
"7156425","10-7015-6425","2013",2,"HSA - Employer Contribution",0,,,,0,1,"Plasmology4"
"7156500","10-7015-6500","2013",2,"Workers Compensation Insurance",0,,,,0,1,"Plasmology4"
"7156650","10-7015-6650","2013",2,"Relocation",0,,,,0,1,"Plasmology4"
"7156720","10-7015-6720","2013",2,"Training",0,,,,0,1,"Plasmology4"
"7208300","10-7020-8300","2013",2,"IT - Hardware",0,,,,0,1,"Plasmology4"
"7208320","10-7020-8320","2013",2,"IT - Software; Non-Depreciable ",0,,,,0,1,"Plasmology4"
"7208330","10-7020-8330","2013",2,"IT - Cloud Services",0,,,,0,1,"Plasmology4"
"7208350","10-7020-8350","2013",2,"IT - Connectivity",0,,,,0,1,"Plasmology4"
"7208360","10-7020-8360","2013",2,"IT - Voice",0,,,,0,1,"Plasmology4"
"7307500","10-7030-7500","2013",2,"Legal Fees - General",0,,,,0,1,"Plasmology4"
"7307510","10-7030-7510","2013",2,"Legal Fees - Patent",0,,,,0,1,"Plasmology4"
"7307819","10-7030-7819","2013",2,"Shareholder Expenses ",0,,,,0,1,"Plasmology4"
"7355920","10-7035-5920","2013",2,"Depreciation - Furniture & Fixtures",0,,,,0,1,"Plasmology4"
"7357300","10-7035-7300","2013",2,"Rent",0,,,,0,1,"Plasmology4"
"7357400","10-7035-7400","2013",2,"Utilities",0,,,,0,1,"Plasmology4"
"7357420","10-7035-7420","2013",2,"Equipment",0,,,,0,1,"Plasmology4"
"7506550","10-7050-6550","2013",2,"D&O Insurance",0,,,,0,1,"Plasmology4"
"8007720","10-8000-7720","2013",2,"Seminars",0,,,,0,1,"Plasmology4"
"8007905","10-8000-7905","2013",2,"Printing & Publications",0,,,,0,1,"Plasmology4"
"8008110","10-8000-8110","2013",2,"Promotional Expense",0,,,,0,1,"Plasmology4"
"9008400","10-9000-8400","2013",2,"Suspense",0,,,,0,1,"Plasmology4"
"9008700","10-9000-8700","2013",2,"Amortization",0,,,,0,1,"Plasmology4"
"9108410","10-9100-8410","2013",2,"Interest Expense",0,,,,0,1,"Plasmology4"
"9108460","10-9100-8460","2013",2,"Interest Income",0,,,,0,1,"Plasmology4"
"0001000","10-0000-1000","2013",3,"Petty Cash",0,,,,0,1,"Plasmology4"
"0001001","10-0000-1001","2013",3,"Plaz4 Operational ",0,,,,0,1,"Plasmology4"
"0001002","10-0000-1002","2013",3,"Plaz4 Debit",0,,,,0,1,"Plasmology4"
"0001003","10-0000-1003","2013",3,"Plaz4 Money Market",0,,,,0,1,"Plasmology4"
"0001500","10-0000-1500","2013",3,"Due From Employee",0,,,,0,1,"Plasmology4"
"0001530","10-0000-1530","2013",3,"Income Tax Income Refund",0,,,,0,1,"Plasmology4"
"0001580","10-0000-1580","2013",3,"Receivable from Shareholders",0,,,,0,1,"Plasmology4"
"0001600","10-0000-1600","2013",3,"Security Deposit",0,,,,0,1,"Plasmology4"
"0001660","10-0000-1660","2013",3,"Due from EDGE Orthopaedics",0,,,,0,1,"Plasmology4"
"0001730","10-0000-1730","2013",3,"Goodwill",0,,,,0,1,"Plasmology4"
"0001740","10-0000-1740","2013",3,"Organizational Cost",0,,,,0,1,"Plasmology4"
"0001750","10-0000-1750","2013",3,"Accum Amortization - Goodwill",0,,,,0,1,"Plasmology4"
"0001760","10-0000-1760","2013",3,"Accum Amortization - Organizational",0,,,,0,1,"Plasmology4"
"0001800","10-0000-1800","2013",3,"Machinery & Equipment",0,,,,0,1,"Plasmology4"
"0001850","10-0000-1850","2013",3,"Computer Equipment",0,,,,0,1,"Plasmology4"
"0001860","10-0000-1860","2013",3,"Software",0,,,,0,1,"Plasmology4"
"0001870","10-0000-1870","2013",3,"Leasehold Improvements",0,,,,0,1,"Plasmology4"
"0001899","10-0000-1899","2013",3,"Office Equipment ",0,,,,0,1,"Plasmology4"
"0001900","10-0000-1900","2013",3,"Accum Depreciation - Mach/Equip",0,,,,0,1,"Plasmology4"
"0001950","10-0000-1950","2013",3,"Accum Depreciation - Comp Equip",0,,,,0,1,"Plasmology4"
"0001960","10-0000-1960","2013",3,"Accum Depreciation - Software",0,,,,0,1,"Plasmology4"
"0001970","10-0000-1970","2013",3,"Accum Depreciation - L/H Improve",0,,,,0,1,"Plasmology4"
"0002000","10-0000-2000","2013",3,"Accounts Payable",0,,,,0,1,"Plasmology4"
"0002180","10-0000-2180","2013",3,"Employee HSA Payable",0,,,,0,1,"Plasmology4"
"0002200","10-0000-2200","2013",3,"Wages Payable",0,,,,0,1,"Plasmology4"
"0002270","10-0000-2270","2013",3,"Due To Employee",0,,,,0,1,"Plasmology4"
"0002450","10-0000-2450","2013",3,"Stock Redemption Payable - K.B.",0,,,,0,1,"Plasmology4"
"0002455","10-0000-2455","2013",3,"Stock Redemption Payable - B. B.",0,,,,0,1,"Plasmology4"
"0002456","10-0000-2456","2013",3,"Stock Redemption Payable - R. R.",0,,,,0,1,"Plasmology4"
"0002600","10-0000-2600","2013",3,"Warrants",0,,,,0,1,"Plasmology4"
"0002700","10-0000-2700","2013",3,"Common Stock",0,,,,0,1,"Plasmology4"
"0002800","10-0000-2800","2013",3,"Treasury Stock",0,,,,0,1,"Plasmology4"
"0002900","10-0000-2900","2013",3,"Series A Stock",0,,,,0,1,"Plasmology4"
"0003100","10-0000-3100","2013",3,"Retained Earnings",0,,,,0,1,"Plasmology4"
"0003198","10-0000-3198","2013",3,"Net Income",0,,,,0,1,"Plasmology4"
"5157680","10-5015-7680","2013",3,"Quality & Regulatory",0,,,,0,1,"Plasmology4"
"6007580","10-6000-7580","2013",3,"Consulting",0,,,,0,1,"Plasmology4"
"6007650","10-6000-7650","2013",3,"Research & Development",0,,,,0,1,"Plasmology4"
"6077690","10-6007-7690","2013",3,"Veterinary",0,,,,0,1,"Plasmology4"
"7107530","10-7010-7530","2013",3,"Accounting Fees",0,,,,0,1,"Plasmology4"
"7107800","10-7010-7800","2013",3,"Business Meeting Expenses",0,,,,0,1,"Plasmology4"
"7107820","10-7010-7820","2013",3,"Meals & Entertainment",0,,,,0,1,"Plasmology4"
"7107840","10-7010-7840","2013",3,"Lodging",0,,,,0,1,"Plasmology4"
"7107850","10-7010-7850","2013",3,"Transportation",0,,,,0,1,"Plasmology4"
"7107860","10-7010-7860","2013",3,"Other Travel ",0,,,,0,1,"Plasmology4"
"7107870","10-7010-7870","2013",3,"Mileage Reimbursement ",0,,,,0,1,"Plasmology4"
"7107910","10-7010-7910","2013",3,"Postage & Delivery",0,,,,0,1,"Plasmology4"
"7107915","10-7010-7915","2013",3,"Dues & Subscriptions",0,,,,0,1,"Plasmology4"
"7107920","10-7010-7920","2013",3,"Office Supplies",0,,,,0,1,"Plasmology4"
"7107930","10-7010-7930","2013",3,"Taxes/Licenses/Fees",0,,,,0,1,"Plasmology4"
"7107940","10-7010-7940","2013",3,"Bank Charges",0,,,,0,1,"Plasmology4"
"7107990","10-7010-7990","2013",3,"Gifts (business)",0,,,,0,1,"Plasmology4"
"7156000","10-7015-6000","2013",3,"Salaries & Wages",0,,,,0,1,"Plasmology4"
"7156350","10-7015-6350","2013",3,"Employer Payroll Taxes",0,,,,0,1,"Plasmology4"
"7156360","10-7015-6360","2013",3,"Payroll Fees",0,,,,0,1,"Plasmology4"
"7156410","10-7015-6410","2013",3,"Den/Vis/Life Insurance",0,,,,0,1,"Plasmology4"
"7156425","10-7015-6425","2013",3,"HSA - Employer Contribution",0,,,,0,1,"Plasmology4"
"7156500","10-7015-6500","2013",3,"Workers Compensation Insurance",0,,,,0,1,"Plasmology4"
"7156650","10-7015-6650","2013",3,"Relocation",0,,,,0,1,"Plasmology4"
"7156720","10-7015-6720","2013",3,"Training",0,,,,0,1,"Plasmology4"
"7208300","10-7020-8300","2013",3,"IT - Hardware",0,,,,0,1,"Plasmology4"
"7208320","10-7020-8320","2013",3,"IT - Software; Non-Depreciable ",0,,,,0,1,"Plasmology4"
"7208330","10-7020-8330","2013",3,"IT - Cloud Services",0,,,,0,1,"Plasmology4"
"7208350","10-7020-8350","2013",3,"IT - Connectivity",0,,,,0,1,"Plasmology4"
"7208360","10-7020-8360","2013",3,"IT - Voice",0,,,,0,1,"Plasmology4"
"7307500","10-7030-7500","2013",3,"Legal Fees - General",0,,,,0,1,"Plasmology4"
"7307510","10-7030-7510","2013",3,"Legal Fees - Patent",0,,,,0,1,"Plasmology4"
"7307819","10-7030-7819","2013",3,"Shareholder Expenses ",0,,,,0,1,"Plasmology4"
"7355920","10-7035-5920","2013",3,"Depreciation - Furniture & Fixtures",0,,,,0,1,"Plasmology4"
"7357300","10-7035-7300","2013",3,"Rent",0,,,,0,1,"Plasmology4"
"7357400","10-7035-7400","2013",3,"Utilities",0,,,,0,1,"Plasmology4"
"7357420","10-7035-7420","2013",3,"Equipment",0,,,,0,1,"Plasmology4"
"7506550","10-7050-6550","2013",3,"D&O Insurance",0,,,,0,1,"Plasmology4"
"8007720","10-8000-7720","2013",3,"Seminars",0,,,,0,1,"Plasmology4"
"8007905","10-8000-7905","2013",3,"Printing & Publications",0,,,,0,1,"Plasmology4"
"8008110","10-8000-8110","2013",3,"Promotional Expense",0,,,,0,1,"Plasmology4"
"9008400","10-9000-8400","2013",3,"Suspense",0,,,,0,1,"Plasmology4"
"9008700","10-9000-8700","2013",3,"Amortization",0,,,,0,1,"Plasmology4"
"9108410","10-9100-8410","2013",3,"Interest Expense",0,,,,0,1,"Plasmology4"
"9108460","10-9100-8460","2013",3,"Interest Income",0,,,,0,1,"Plasmology4"
"0001000","10-0000-1000","2013",4,"Petty Cash",0,,,,0,1,"Plasmology4"
"0001001","10-0000-1001","2013",4,"Plaz4 Operational ",0,,,,0,1,"Plasmology4"
"0001002","10-0000-1002","2013",4,"Plaz4 Debit",0,,,,0,1,"Plasmology4"
"0001003","10-0000-1003","2013",4,"Plaz4 Money Market",0,,,,0,1,"Plasmology4"
"0001500","10-0000-1500","2013",4,"Due From Employee",0,,,,0,1,"Plasmology4"
"0001530","10-0000-1530","2013",4,"Income Tax Income Refund",0,,,,0,1,"Plasmology4"
"0001580","10-0000-1580","2013",4,"Receivable from Shareholders",0,,,,0,1,"Plasmology4"
"0001600","10-0000-1600","2013",4,"Security Deposit",0,,,,0,1,"Plasmology4"
"0001660","10-0000-1660","2013",4,"Due from EDGE Orthopaedics",0,,,,0,1,"Plasmology4"
"0001730","10-0000-1730","2013",4,"Goodwill",0,,,,0,1,"Plasmology4"
"0001740","10-0000-1740","2013",4,"Organizational Cost",0,,,,0,1,"Plasmology4"
"0001750","10-0000-1750","2013",4,"Accum Amortization - Goodwill",0,,,,0,1,"Plasmology4"
"0001760","10-0000-1760","2013",4,"Accum Amortization - Organizational",0,,,,0,1,"Plasmology4"
"0001800","10-0000-1800","2013",4,"Machinery & Equipment",0,,,,0,1,"Plasmology4"
"0001850","10-0000-1850","2013",4,"Computer Equipment",0,,,,0,1,"Plasmology4"
"0001860","10-0000-1860","2013",4,"Software",0,,,,0,1,"Plasmology4"
"0001870","10-0000-1870","2013",4,"Leasehold Improvements",0,,,,0,1,"Plasmology4"
"0001899","10-0000-1899","2013",4,"Office Equipment ",0,,,,0,1,"Plasmology4"
"0001900","10-0000-1900","2013",4,"Accum Depreciation - Mach/Equip",0,,,,0,1,"Plasmology4"
"0001950","10-0000-1950","2013",4,"Accum Depreciation - Comp Equip",0,,,,0,1,"Plasmology4"
"0001960","10-0000-1960","2013",4,"Accum Depreciation - Software",0,,,,0,1,"Plasmology4"
"0001970","10-0000-1970","2013",4,"Accum Depreciation - L/H Improve",0,,,,0,1,"Plasmology4"
"0002000","10-0000-2000","2013",4,"Accounts Payable",0,,,,0,1,"Plasmology4"
"0002180","10-0000-2180","2013",4,"Employee HSA Payable",0,,,,0,1,"Plasmology4"
"0002200","10-0000-2200","2013",4,"Wages Payable",0,,,,0,1,"Plasmology4"
"0002270","10-0000-2270","2013",4,"Due To Employee",0,,,,0,1,"Plasmology4"
"0002450","10-0000-2450","2013",4,"Stock Redemption Payable - K.B.",0,,,,0,1,"Plasmology4"
"0002455","10-0000-2455","2013",4,"Stock Redemption Payable - B. B.",0,,,,0,1,"Plasmology4"
"0002456","10-0000-2456","2013",4,"Stock Redemption Payable - R. R.",0,,,,0,1,"Plasmology4"
"0002600","10-0000-2600","2013",4,"Warrants",0,,,,0,1,"Plasmology4"
"0002700","10-0000-2700","2013",4,"Common Stock",0,,,,0,1,"Plasmology4"
"0002800","10-0000-2800","2013",4,"Treasury Stock",0,,,,0,1,"Plasmology4"
"0002900","10-0000-2900","2013",4,"Series A Stock",0,,,,0,1,"Plasmology4"
"0003100","10-0000-3100","2013",4,"Retained Earnings",0,,,,0,1,"Plasmology4"
"0003198","10-0000-3198","2013",4,"Net Income",0,,,,0,1,"Plasmology4"
"5157680","10-5015-7680","2013",4,"Quality & Regulatory",0,,,,0,1,"Plasmology4"
"6007580","10-6000-7580","2013",4,"Consulting",0,,,,0,1,"Plasmology4"
"6007650","10-6000-7650","2013",4,"Research & Development",0,,,,0,1,"Plasmology4"
"6077690","10-6007-7690","2013",4,"Veterinary",0,,,,0,1,"Plasmology4"
"7107530","10-7010-7530","2013",4,"Accounting Fees",0,,,,0,1,"Plasmology4"
"7107800","10-7010-7800","2013",4,"Business Meeting Expenses",0,,,,0,1,"Plasmology4"
"7107820","10-7010-7820","2013",4,"Meals & Entertainment",0,,,,0,1,"Plasmology4"
"7107840","10-7010-7840","2013",4,"Lodging",0,,,,0,1,"Plasmology4"
"7107850","10-7010-7850","2013",4,"Transportation",0,,,,0,1,"Plasmology4"
"7107860","10-7010-7860","2013",4,"Other Travel ",0,,,,0,1,"Plasmology4"
"7107870","10-7010-7870","2013",4,"Mileage Reimbursement ",0,,,,0,1,"Plasmology4"
"7107910","10-7010-7910","2013",4,"Postage & Delivery",0,,,,0,1,"Plasmology4"
"7107915","10-7010-7915","2013",4,"Dues & Subscriptions",0,,,,0,1,"Plasmology4"
"7107920","10-7010-7920","2013",4,"Office Supplies",0,,,,0,1,"Plasmology4"
"7107930","10-7010-7930","2013",4,"Taxes/Licenses/Fees",0,,,,0,1,"Plasmology4"
"7107940","10-7010-7940","2013",4,"Bank Charges",0,,,,0,1,"Plasmology4"
"7107990","10-7010-7990","2013",4,"Gifts (business)",0,,,,0,1,"Plasmology4"
"7156000","10-7015-6000","2013",4,"Salaries & Wages",0,,,,0,1,"Plasmology4"
"7156350","10-7015-6350","2013",4,"Employer Payroll Taxes",0,,,,0,1,"Plasmology4"
"7156360","10-7015-6360","2013",4,"Payroll Fees",0,,,,0,1,"Plasmology4"
"7156410","10-7015-6410","2013",4,"Den/Vis/Life Insurance",0,,,,0,1,"Plasmology4"
"7156425","10-7015-6425","2013",4,"HSA - Employer Contribution",0,,,,0,1,"Plasmology4"
